Item Title,Quantity,Sold For,Shipping And Handling,eBay Collected Tax,Total Price,Sale Date,Revenue,Gross Profit,Net Profit
,,,,,,,,,
"1997 Kenner Batman & Robin Ambush Attack Batman 5"" Action Figure - NEW",1.0,15.99,8.71,1.49,26.19,2025-08-26,15.99,24.700000000000003,23.210000000000004
Marvel's Gold Collector's Edition Moon Knight 1997 Action Figure Toy Biz NEW,1.0,23.85,9.31,2.95,36.11,2025-08-22,23.85,33.160000000000004,30.210000000000004
Galoob Star Trek V The Final Frontier KLAA Klingon Captain Limited Ed. 1989,1.0,16.0,7.15,1.48,24.63,2025-08-07,16.0,23.15,21.669999999999998
"2002 Memory Lane Peanuts:  Lucy Van Pelt, It's the Great Pumpkin Charlie Brown",1.0,15.0,6.14,1.31,22.45,2025-08-03,15.0,21.14,19.830000000000002
"Buffy the Vampire Slayer ""BUFFY SUMMERS"" Action Figure MOORE ACTION SEALED",1.0,25.0,10.36,2.5,37.86,2025-08-01,25.0,35.36,32.86
Vintage Batman And Robin THERMAL SHIELD BATMAN Kenner 1997,1.0,18.92,4.8,1.96,25.68,2025-07-30,18.92,23.720000000000002,21.76
MEGO 1974 Star Trek - KLINGON Action Figure - Vintage - SEALED - MOC - NIB,1.0,74.0,8.19,4.52,86.71,2025-07-26,74.0,82.19,77.67
DC Direct UnMasked Secret Files Bruce Wayne Batman Action Figure ,1.0,24.0,11.01,3.61,38.62,2025-07-22,24.0,35.01,31.4
"Star Wars POTF Grand Admiral Thrawn Expanded Universe 3.75"" Figure 1998 Kenner",1.0,12.2,4.8,1.4,18.4,2025-07-21,12.2,17.0,15.6
"Peanuts~It's The Great Pumpkin, CHARLIE BROWN (2002) Memory Lane Action Fig.~NIB",1.0,18.0,8.98,1.71,28.69,2025-07-21,18.0,26.98,25.27
2002 Peanuts • SCHROEDER (Smiling Variant) • MEMORY LANE Good Ol' Charlie Brown.,1.0,18.0,8.98,2.23,29.21,2025-07-16,18.0,26.98,24.75
Peanuts It's The Great Pumpkin 2004 Figure NIB Sally Brown Welcome Sign New READ,1.0,15.5,10.0,2.04,27.54,2025-07-14,15.5,25.5,23.46
"DC Justice League Unlimited Batman 4.5"" Action Figure Mattel 2003 New Sealed",1.0,8.0,8.71,0.48,17.19,2025-07-12,8.0,16.71,16.23
"RUBER Quest For Camelot 6"" Action Figure 1997 Hasbro 90s WB Movie Vintage",1.0,18.5,6.36,1.34,26.2,2025-07-10,18.5,24.86,23.52
2002 Memory Lane Peanuts Good Old Charlie Brown Patty Linus Figures Rare Variant,1.0,7.25,6.14,0.76,14.15,2025-07-07,7.25,13.39,12.63
"X-Men Marvel's Collectors Editions ""The Original X-Men"" (1997)",1.0,35.0,6.84,3.35,45.19,2025-07-06,35.0,41.84,38.49
Mattel - Batman: The Dark Knight - Movie Masters Bat-Pod (2008),1.0,13.5,10.0,0.81,24.31,2025-07-06,13.5,23.5,22.69
Kenner 1997 Batman Movie Collection: Batman vs. Joker Figure Set,1.0,45.0,12.98,4.06,62.04,2025-07-05,45.0,57.980000000000004,53.92
Vtg Kenner Iron Winch Batman The Dark Knight Action Figure 1990 Sealed,1.0,24.5,7.81,1.23,33.54,2025-07-01,24.5,32.31,31.080000000000002
VTG 2002 Memory Lane Its The Great Pumpkin Charlie Brown Linus Van Pelt New,1.0,11.0,7.67,1.4,20.36,2025-06-27,11.0,18.67,17.270000000000003
Kenner Batman Returns Arctic Action Figure,1.0,22.94,8.71,1.22,0.0,2025-06-26,22.94,31.650000000000002,30.430000000000003
"X-Men Marvel's Collectors Editions ""The Original X-Men"" (1997)",1.0,30.0,0.0,0.0,30.0,2025-06-25,30.0,30.0,30.0
"DC Justice League Batman 4.5"" Action Figure 2003 Mattel JLU New Sealed",1.0,9.99,8.71,1.24,19.94,2025-06-24,9.99,18.700000000000003,17.460000000000004
,2.0,62.94,12.56,5.82,81.32,2025-06-22,125.88,138.44,132.62
Batman Returns Bruce Wayne Custom Coupe Vehicle & Figure 1991 Kenner See Details,1.0,40.0,,,,2025-06-22,40.0,,
Kenner Batman Returns Arctic Action Figure,1.0,22.94,,,,2025-06-22,22.94,,
"Vintage 1976 Batman World's Greatest Super Heroes 12"" Action Figure by Mego",1.0,295.0,12.71,27.39,335.1,2025-06-22,295.0,307.71,280.32
,3.0,46.09,13.68,6.88,58.28,2025-06-22,138.27,151.95000000000002,145.07000000000002
2002 Hasbro Batman vs The Joker endless dual figures NIB,1.0,10.0,,,,2025-06-22,10.0,,
VINTAGE Batman Returns: Bruce Wayne SEALED Action Figure - DC Comics Kenner 1991,1.0,19.09,,,,2025-06-22,19.09,,
Batman Returns Deep Dive Batman Action Figure Kenner 1991 Michael Keaton,1.0,17.0,,,,2025-06-22,17.0,,
Kenner Batman Returns Arctic Action Figure,1.0,15.0,0.0,0.0,15.0,2025-06-21,15.0,15.0,15.0
1984 Kenner Batmobile with Batman & Robin Figures-Vintage DC Super Powers (1),1.0,70.0,6.53,6.02,82.55,2025-06-20,70.0,76.53,70.51
"New 2003 DC Universe-BATMAN AND SUPERMAN-2 PACK 6"" Action Figures Mattel V192",1.0,10.0,10.0,1.45,21.45,2025-06-18,10.0,20.0,18.55
Vintage 1996 Kenner Superman Man of Steel 2 Pack Cyber-Link Superman & Batman,1.0,10.0,8.71,1.36,20.07,2025-06-18,10.0,18.71,17.35
"Vintage Peanuts Gang Figure Set (Memory Lane 2002) “Good ol’ Charlie Brown!"" NIB",1.0,11.0,8.98,2.0,21.98,2025-06-18,11.0,19.98,17.98
DC Comics Cyber Link Superman & Batman Animated 2 Pack Man of Steel Set 1995,1.0,10.0,8.71,0.6,19.31,2025-06-17,10.0,18.71,18.11
"Batman Masterpiece Edition: The Caped Crusader's Golden Age (2000, Hardcover)",1.0,45.0,6.13,2.7,53.83,2025-06-14,45.0,51.13,48.43
,,,,,,,,,
,,,,,,,,,
